product_type,brand,model,processor,ram_gb,storage_gb,gpu,os,weight_kg,battery_wh,battery_mah,display_size_inches,display_resolution,refresh_rate_hz,charging_w,front_camera,back_camera,description,review_text,source_url,price_original,price_currency,price_bdt
Laptop,Apple,MacBook Pro,Intel Core i5 2.3GHz,8,128,Intel Iris Plus Graphics 640,macOS,1.37,72.4,,13.3,2560x1600,120,,,,"The Apple MacBook Pro seamlessly blends aesthetics with performance, making it a versatile companion for daily tasks. Furthermore, it is fueled by the Intel Core i5 2.3GHz processor, 8 of memory and a spacious 128.0 of internal storage, ensuring brisk responsiveness. The device incorporates a 13.3-inch display featuring a crisp 2560x1600 resolution featuring an ultra-smooth 120.0 refresh rate, making it fantastic for media consumption and creative work. Graphics rendering is effectively managed by the Intel Iris Plus Graphics 640, providing stability across gaming and design software. For users constantly on the move, it features a substantial 72.4 cell and a surprisingly light 1.37kg frame. Operating on macOS, this configuration positions the Apple MacBook Pro as a highly capable daily driver.",,https://www.apple.com/macbook-pro/specs/; https://www.apple.com/macbook-pro/; https://nanoreview.net/en/laptop/apple-macbook-pro-14-m5-2025,1473.66,USD,176839.2
Laptop,Apple,Macbook Air,Intel Core i5 1.8GHz,8,128,Intel HD Graphics 6000,macOS,1.34,35,,13.3,1440x900,60,,,,"The Apple Macbook Air seamlessly blends aesthetics with performance, making it a modern companion for daily tasks. In terms of hardware, it is engineered around the Intel Core i5 1.8GHz processor, 8 of memory and a spacious 128.0 of internal storage, ensuring brisk responsiveness. Its front panel is dominated by a 13.3-inch display featuring a crisp 1440x900 resolution featuring an ultra-smooth 60.0 refresh rate, providing vibrant colors and sharp contrasts. The inclusion of the Intel HD Graphics 6000 ensures that graphics-heavy tasks are executed with ease. Physical endurance is addressed by a substantial 35.0 cell and a portable chassis weighing 1.34kg, keeping you productive on the go. Coupled with the intuitive macOS environment, the Apple Macbook Air hits all the right notes for its category.",,https://www.apple.com/macbook-air/specs/; https://www.apple.com/macbook-air/; https://www.productindetail.com/pn/apple-macbook-air,988.83,USD,118659.6
Laptop,HP,250 G6,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,No OS,1.86,,,15.6,1920x1080,165,,,,"The HP 250 G6 seamlessly blends aesthetics with performance, making it a dynamic companion for daily tasks. Under the hood, it is equipped with the Intel Core i5 7200U 2.5GHz processor, 8 of memory and a spacious 256.0 of internal storage, ensuring brisk responsiveness. Visuals are rendered on a 15.6-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 165.0 refresh rate, which guarantees an immersive viewing experience. Graphics rendering is effectively managed by the Intel HD Graphics 620, providing stability across gaming and design software. For users constantly on the move, it features a portable chassis weighing 1.86kg. Operating on No OS, this configuration positions the HP 250 G6 as a highly capable daily driver.",,https://support.hp.com/ca-en/product/product-specs/hp-250-g6-notebook-pc/15747807; https://www.gadgets360.com/hp-probook-250-g6-7803; https://laptopmedia.com/series/hp-250-g6/,632.5,USD,75900
Laptop,Apple,MacBook Pro,Intel Core i7 2.7GHz,16,512,AMD Radeon Pro 455,macOS,1.83,,,15.4,2880x1800,120,,,,"The Apple MacBook Pro emerges as a versatile solution designed to elevate your digital experience. Moving to performance, it is driven by the Intel Core i7 2.7GHz processor, 16 of memory and a spacious 512.0 of internal storage, ensuring brisk responsiveness. The device incorporates a 15.4-inch display featuring a crisp 2880x1800 resolution featuring an ultra-smooth 120.0 refresh rate, making it fantastic for media consumption and creative work. When it comes to graphical fidelity, the AMD Radeon Pro 455 steps in to accelerate complex visual workloads. Physical endurance is addressed by an overall weight of just 1.83kg, keeping you productive on the go. Operating on macOS, this configuration positions the Apple MacBook Pro as a highly capable daily driver.",,https://www.apple.com/macbook-pro/specs/; https://www.apple.com/macbook-pro/,2791.2,USD,334944
Laptop,Apple,MacBook Pro,Intel Core i5 3.1GHz,8,256,Intel Iris Plus Graphics 650,macOS,1.37,,,13.3,2560x1600,120,,,,"The Apple MacBook Pro emerges as a feature-rich solution designed to elevate your digital experience. It boasts an impressive architecture featuring the Intel Core i5 3.1GHz processor, 8 of memory and a spacious 256.0 of internal storage to comfortably manage multitasking without bottlenecks. Its front panel is dominated by a 13.3-inch display featuring a crisp 2560x1600 resolution featuring an ultra-smooth 120.0 refresh rate, providing vibrant colors and sharp contrasts. When it comes to graphical fidelity, the Intel Iris Plus Graphics 650 steps in to accelerate complex visual workloads. For users constantly on the move, it features an overall weight of just 1.37kg. Running naturally on macOS, the Apple MacBook Pro is an outstanding technological investment.",,https://www.apple.com/macbook-pro/specs/; https://www.apple.com/macbook-pro/,1983.96,USD,238075.2
Laptop,Apple,MacBook Pro,Intel Core i7 2.2GHz,16,256,Intel Iris Pro Graphics,Mac OS X,2.04,,,15.4,2880x1800,120,,,,"The Apple MacBook Pro seamlessly blends aesthetics with performance, making it a premium companion for daily tasks. As for its internals, it is fueled by the Intel Core i7 2.2GHz processor, 16 of memory and a spacious 256.0 of internal storage, ensuring brisk responsiveness. Its front panel is dominated by a 15.4-inch display featuring a crisp 2880x1800 resolution featuring an ultra-smooth 120.0 refresh rate, providing vibrant colors and sharp contrasts. With the Intel Iris Pro Graphics on board, visual performance is consistently maintained at a high tier. Physical endurance is addressed by an overall weight of just 2.04kg, keeping you productive on the go. Running naturally on Mac OS X, the Apple MacBook Pro is an outstanding technological investment.",,https://www.apple.com/macbook-pro/specs/; https://www.apple.com/in/macbook-pro/specs/; https://www.gadgets360.com/apple-macbook-pro-7330,2353.97,USD,282476.4
Laptop,Apple,Macbook Air,Intel Core i5 1.8GHz,8,256,Intel HD Graphics 6000,macOS,1.34,35,,13.3,1440x900,60,,,,"For those seeking reliable technology, the Apple Macbook Air stands out as a modern and dependable choice. System operations are engineered around the Intel Core i5 1.8GHz processor, 8 of memory and a spacious 256.0 of internal storage, providing the necessary bandwidth for intensive applications. Its front panel is dominated by a 13.3-inch display featuring a crisp 1440x900 resolution featuring an ultra-smooth 60.0 refresh rate, providing vibrant colors and sharp contrasts. Graphics rendering is effectively managed by the Intel HD Graphics 6000, providing stability across gaming and design software. For users constantly on the move, it features a long-lasting 35.0 battery and an overall weight of just 1.34kg. Coupled with the intuitive macOS environment, the Apple Macbook Air hits all the right notes for its category.",,https://www.apple.com/macbook-air/specs/; https://www.apple.com/macbook-air/; https://www.productindetail.com/pn/apple-macbook-air,1274.57,USD,152948.4
Laptop,Asus,ZenBook UX430UN,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce MX150,Windows 10,1.3,50,,14,1920x1080,75,,,,"The Asus ZenBook UX430UN emerges as a highly capable solution designed to elevate your digital experience. It boasts an impressive architecture featuring the Intel Core i7 8550U 1.8GHz processor, 16 of memory and a spacious 512.0 of internal storage to comfortably manage multitasking without bottlenecks. The device incorporates a 14.0-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 75.0 refresh rate, making it fantastic for media consumption and creative work. When it comes to graphical fidelity, the Nvidia GeForce MX150 steps in to accelerate complex visual workloads. It integrates a substantial 50.0 cell and a surprisingly light 1.3kg frame to maximize mobility without sacrificing runtime. Ultimately, with Windows 10 at the helm, the Asus ZenBook UX430UN easily satisfies the rigorous demands of contemporary digital life.",,https://www.asus.com/laptops/for-home/zenbook/zenbook-14-ux430/; https://www.asus.com/bt/laptops/for-home/zenbook/zenbook-14-ux430/techspec/,1644.5,USD,197340
Laptop,Acer,Swift 3,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,1.6,56,,14,1920x1080,60,,,,"The Acer Swift 3 emerges as a highly capable solution designed to elevate your digital experience. The core of its performance lies in the Intel Core i5 8250U 1.6GHz processor, 8 of memory and a spacious 256.0 of internal storage, allowing users to navigate demanding workflows seamlessly. Its front panel is dominated by a 14.0-inch display featuring a crisp 1920x1080 resolution featuring an ultra-smooth 60.0 refresh rate, providing vibrant colors and sharp contrasts. The inclusion of the Intel UHD Graphics 620 ensures that graphics-heavy tasks are executed with ease. For users constantly on the move, it features a long-lasting 56.0 battery and a surprisingly light 1.6kg frame. Ultimately, with Windows 10 at the helm, the Acer Swift 3 easily satisfies the rigorous demands of contemporary digital life.",,https://www.acer.com/us-en/laptops/swift; https://www.productindetail.com/pn/acer-swift-3-sf313-53g,847,USD,101640
Laptop,HP,250 G6,Intel Core i5 7200U 2.5GHz,4,500,Intel HD Graphics 620,No OS,1.86,,,15.6,1366x768,165,,,,"The HP 250 G6 emerges as a powerful solution designed to elevate your digital experience. The core of its performance lies in the Intel Core i5 7200U 2.5GHz processor, 4 of memory and a spacious 500.0 of internal storage, allowing users to navigate demanding workflows seamlessly. Users will appreciate the visual fidelity offered by a 15.6-inch display featuring a crisp 1366x768 resolution featuring an ultra-smooth 165.0 refresh rate, perfect for streaming and reading. With the Intel HD Graphics 620 on board, visual performance is consistently maintained at a high tier. For users constantly on the move, it features an overall weight of just 1.86kg. Operating on No OS, this configuration positions the HP 250 G6 as a highly capable daily driver.",,https://support.hp.com/ca-en/product/product-specs/hp-250-g6-notebook-pc/15747807; https://www.gadgets360.com/hp-probook-250-g6-7803; https://laptopmedia.com/series/hp-250-g6/,433.29,USD,51994.8
